This file was created by CMPT_IND_RETS using the 201512 CRSP database.
It contains value- and equal-weighted returns for 10 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

  Average Equal Weighted Returns -- Monthly
,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
192607,   1.17,   4.03,   2.30,  -2.19,   2.21,   1.31,   0.69,   2.45,   4.85,   0.21
192608,   5.28,   0.28,   2.11,   4.41,   2.61,   1.08,  -0.03,   6.11,  -2.00,   4.53
192609,   0.03,  -3.34,   0.53,  -3.51,   0.86,   0.22,  -0.71,   0.80,   2.06,  -0.53
192610,  -2.59,  -9.46,  -5.11,   2.67,  -5.72,  -0.99,  -3.28,   0.13,  -2.98,  -2.51
192611,   6.07,  -0.38,   1.69,   1.59,   1.32,   1.48,   1.35,   7.20,   5.71,   0.85
192612,   0.41,   4.80,   3.39,   4.92,   1.46,   1.62,   2.81,   0.42,   1.72,   1.23
192701,  -1.49,  -2.27,   0.78,   3.68,   0.44,   0.13,  -2.29,   6.13,  -0.44,   5.16
192702,   3.57,   6.06,   6.38,   4.24,   8.33,   6.98,   5.10,   2.47,   4.88,   7.81
192703,  -3.23,  -2.36,  -1.24,  -9.15,  -1.58,   1.35,   0.25,  -0.20,   2.19,   0.04
192704,   1.33,  -1.17,   1.57,  -3.93,   2.04,   0.58,   3.33,   5.80,   1.69,   1.44
192705,   7.13,   4.15,   6.24,   7.43,   3.14,   1.60,   2.11,   4.79,   9.29,   8.42
192706,  -2.12,  -3.97,  -3.57,  -0.27,   1.57,  -2.63,  -1.84,   3.64,  -3.30,  -1.25
192707,   6.56,   6.21,   7.82,   2.20,   7.44,   4.36,   5.96,   8.59,   4.18,   4.56
192708,   1.07,   1.74,   0.73,  -1.96,  -1.61,   1.31,   2.97,   0.15,   6.17,  -1.69
192709,   2.94,  -0.77,   1.42,   3.97,   4.28,   5.20,   3.75,   6.00,   9.42,   3.98
192710,  -1.50,  -3.69,  -4.63,  -4.50,  -3.83,  -2.33,  -3.70,   5.15,  -4.68,  -4.51
192711,   7.66,  11.38,  14.47,   9.83,  14.85,   3.66,   8.70,   5.05,   5.96,   7.67
192712,   3.51,   6.59,   4.86,   0.60,   1.00,   3.42,   1.83,  -1.42,   1.80,   2.08
192801,   4.18,  -1.94,   5.22,  -0.48,   1.80,  -1.85,   3.89,   1.45,   8.76,   3.30
192802,  -2.42,  -2.45,  -2.69,  -2.02,   0.08,  -0.38,  -1.46,  -1.89,  -1.63,  -3.03
192803,   5.56,  14.90,   6.48,   6.21,  13.47,   3.20,   6.16,   8.96,   4.95,   6.19
192804,   3.94,   5.23,   8.15,  26.03,   4.84,   2.41,   5.23,   3.36,  10.94,   7.37
192805,   2.80,   8.92,   3.62,  -3.41,  11.82,   6.53,   4.62,   7.21,   1.70,   5.11
192806,  -7.46, -11.47,  -7.68,  -6.13,  -4.77,  -6.27,  -5.02,  -1.46,  -3.82,  -5.64
192807,   0.16,   0.19,   0.17,   1.77,   0.17,  -0.08,   3.24,  -0.81,  -1.09,  -1.02
192808,   5.14,  10.53,   7.57,   0.98,   5.49,   2.33,   7.68,   9.38,   5.72,   4.38
192809,   3.00,   7.73,   7.51,   7.55,   3.23,   0.50,   3.28,  -0.06,   4.94,   3.60
192810,   3.15,   0.59,   1.20,   2.31,   1.81,   7.54,   4.45,   0.25,  -2.22,   0.00
192811,   8.63,  11.80,  12.96,  14.61,  14.16,   8.89,  10.37,   3.51,  18.29,  10.70
192812,  -1.02,   1.94,   1.98,  -7.11,   3.64,  -2.12,  -0.15,  -0.48,   2.32,  -1.11
192901,   1.93,   3.24,   6.04,  -6.29,   7.36,   7.86,  -2.26,   4.61,  15.63,   5.55
192902,  -2.45,  -0.95,   2.44,   0.98,   5.55,  -1.51,  -0.60,  -0.07,  -1.52,   1.29
192903,  -5.37,  -7.01,  -2.94,   5.21,   5.41,  10.14,  -6.05,  -0.50,  -2.13,  -4.32
192904,   2.40,  -1.92,   1.07,   1.29,   4.69,  -2.60,   0.82,   2.42,   4.06,   1.59
192905,  -7.92, -13.89, -13.09,  -8.31,  -4.37,  -7.24,  -8.82,  -6.92,   2.77,  -6.35
192906,   4.41,   7.04,  11.75,   3.00,  13.39,   6.37,   7.41,   4.73,  22.76,   5.28
192907,   0.99,  -1.52,   1.82,   1.66,   6.51,  10.42,   0.83,   3.11,   7.56,   2.75
192908,  -0.08,  -2.27,   3.25,   3.22,   6.91,   5.06,   4.17,  -0.54,  10.33,   3.60
192909,  -3.64,  -9.47,  -5.17,  -3.76,  -2.39,  -2.88,  -3.27,  -5.78,   2.50,  -4.46
192910, -16.81, -29.46, -22.26, -16.25, -26.63, -11.92, -22.88, -17.09, -30.36, -15.46
192911, -12.89, -14.81, -12.76,  -9.35, -20.51,  -8.86, -13.73,  -4.68, -12.47, -11.09
192912,  -4.45,  -1.11,  -3.34,  -5.87,   4.14,   2.52,  -6.86,   4.01,   8.98,  -0.42
193001,   9.36,  17.16,  14.36,   4.51,   9.70,   3.66,   9.14,   2.39,   5.52,   9.77
193002,   3.54,   4.99,   4.42,  -3.15,   7.29,   5.48,  -1.55,   5.50,   9.11,   4.35
193003,   7.67,  16.76,  10.79,  24.92,  11.39,   3.85,   2.27,   7.68,  10.60,   7.05
193004,  -4.88, -11.20,  -8.52,   1.67,  -0.97,   0.53,   2.28,  -3.32,   1.34,  -5.66
193005,  -2.67,  -6.39,  -3.89,  -5.89,  -6.99,  -2.33,  -2.87,  -1.81,  -1.91,  -3.35
193006, -14.86, -27.64, -19.15, -17.68, -24.82, -10.33, -17.88, -14.01, -17.75, -16.67
193007,   2.09,   8.96,   4.65,   2.50,   6.56,   4.88,   0.91,   8.97,   3.95,   3.12
193008,  -0.75,  -5.44,  -2.61,  -4.67,   0.36,   1.49,   0.71,   1.14,   1.17,  -1.71
193009, -12.69, -19.95, -16.19, -17.44, -21.56,  -5.65, -10.49,  -5.74, -11.88, -15.20
193010,  -3.58, -15.49, -10.54, -12.93, -15.43,  -3.02, -11.81,  -5.24,  -9.69,  -9.32
193011,  -1.27,   6.37,  -2.43,  -6.57,  -0.66,  -2.39,  -1.61,  -2.67,  -6.29,  -4.44
193012, -12.13, -10.50, -14.68, -19.39, -12.84,  -2.54, -16.11,  -9.73,  -4.63, -14.36
193101,  15.34,  14.44,  11.75,  18.09,  15.11,   4.39,   9.99,   7.99,   5.21,  18.92
193102,  13.34,  22.95,  17.06,  14.37,  23.64,   6.01,  17.06,  16.19,  15.43,  11.64
193103,  -0.55,  -5.06,  -7.82, -12.79, -11.27,  -1.00,  -1.26,   0.65,  -4.48,  -9.11
193104, -14.10, -20.31, -17.47, -17.66, -16.35,  -7.46, -10.21, -11.43,  -9.96, -14.15
193105,  -9.66, -17.07, -16.41, -17.41, -11.98,  -8.23,  -9.48, -15.91, -11.67, -16.31
193106,  15.19,  19.09,  21.58,  21.21,  16.41,  10.64,   7.11,  12.23,  10.11,  22.86
193107,  -2.14,  -6.73,  -9.62,  -6.82,  -9.92,  -0.96,  -3.66,  -3.30,  -2.66,  -9.05
193108,  -2.27,  -3.48,  -3.29,   8.71,  -2.30,  -0.20,  -0.14,  -1.10,   0.85,  -4.37
193109, -27.38, -34.66, -32.23, -32.07, -37.66, -17.37, -28.87, -31.75, -32.02, -28.12
193110,  10.53,  13.24,  12.38,  10.84,  13.91,   0.98,   7.54,  13.21,   8.00,   4.81
193111,  -7.54,  -0.95,  -9.36,  -7.95, -10.22, -13.82,  -8.97,  -9.05,  -4.52, -13.74
193112, -13.20, -17.39, -18.21, -21.94, -19.11, -13.49, -20.34, -11.51, -12.76, -21.63
193201,   6.46,   8.62,   6.47,   8.92,   6.74,  -1.22,   5.84,   0.98,  -2.15,  15.14
193202,   2.96,   2.21,   1.29,   4.42,   3.54,   5.31,   1.21,  -1.71,   5.62,   1.56
193203,  -7.47, -16.49, -12.35,  -4.08, -15.39,  -4.34, -15.96,  -8.89, -10.43, -15.35
193204, -15.92, -24.83, -19.78, -12.35, -23.40, -20.40, -10.09, -13.65, -16.22, -18.60
193205, -16.27, -22.91, -20.44,  -9.81, -19.63, -18.44, -22.22, -26.30, -29.55, -24.64
